External.ID,Referencia,Monto.en.petro
__export__.sinco_project_48222,CCO-21-17-08-00012,142.33
__export__.sinco_project_48235,CCO-21-10-03-00028,88.4
__export__.sinco_project_48254,CCO-21-04-02-00067,94.2702986295
__export__.sinco_project_48278,CCO-21-12-04-00009,286.78
__export__.sinco_project_48285,CCO-21-17-08-00013,142.33
__export__.sinco_project_48320,CCO-21-18-05-00021,190.17
__export__.sinco_project_48323,CCO-21-03-06-00020,122.09
__export__.sinco_project_48324,CCO-21-19-07-00027,234.79
__export__.sinco_project_48328,CCO-21-13-09-00039,153.42
__export__.sinco_project_48355,CCO-21-06-02-00008,142.33
__export__.sinco_project_48370,CCO-21-09-24-00033,107.06
__export__.sinco_project_48394,CCO-21-16-03-00003,106.79
__export__.sinco_project_48402,CCO-21-10-11-00002,192.53
__export__.sinco_project_48426,CCO-21-07-02-00008,92.97
__export__.sinco_project_48432,CCO-21-18-22-00002,176.73
__export__.sinco_project_48437,CCO-21-17-07-00001,142.33
__export__.sinco_project_48460,CCO-21-12-20-00009,123.54
__export__.sinco_project_48468,CCO-21-05-02-00027,126.62
__export__.sinco_project_48483,CCO-21-05-02-00028,203.92
__export__.sinco_project_48486,CCO-21-11-04-00002,228.32
__export__.sinco_project_48490,CCO-21-21-12-00010,142.33
__export__.sinco_project_48502,CCO-21-10-07-00014,115.51
__export__.sinco_project_48510,CCO-21-12-18-00004,26.9504206547
__export__.sinco_project_48518,CCO-21-07-03-00008,87.89
__export__.sinco_project_48528,CCO-21-18-04-00039,174.64
__export__.sinco_project_48530,CCO-21-12-19-00010,182.0882729
__export__.sinco_project_48554,CCO-21-13-09-00047,131.34
__export__.sinco_project_48564,CCO-21-10-13-00008,187.69
__export__.sinco_project_48575,CCO-21-10-13-00009,212.45
__export__.sinco_project_48577,CCO-21-21-18-00025,122.59
__export__.sinco_project_48588,CCO-21-12-20-00011,144.01
__export__.sinco_project_48646,CCO-21-02-01-00068,146.572641001
__export__.sinco_project_48674,CCO-21-02-04-00007,178.427761646
__export__.sinco_project_48681,CCO-21-10-07-00017,142.33
__export__.sinco_project_48705,COM-21-19-03-00001,126.62
__export__.sinco_project_48713,CCO-21-12-12-00024,144.01
__export__.sinco_project_48743,CCO-21-19-12-00004,231.28
__export__.sinco_project_48747,CCO-21-05-10-00007,83.26
__export__.sinco_project_48748,CCO-21-06-02-00010,142.33
__export__.sinco_project_48775,CCO-21-10-01-00067,142.33
__export__.sinco_project_48785,CCO-21-09-09-00010,147.02
__export__.sinco_project_48788,CCO-21-10-04-00008,92.78
__export__.sinco_project_48830,CCO-21-09-13-00004,178.92
__export__.sinco_project_48834,CCO-21-03-06-00030,136.16
__export__.sinco_project_48857,CCO-21-10-01-00068,143.31
__export__.sinco_project_48864,CCO-21-10-01-00069,143.31
__export__.sinco_project_48872,CCO-21-09-03-00003,109.14
__export__.sinco_project_48908,CCO-21-12-23-00012,183.24
__export__.sinco_project_48915,CCO-21-12-11-00004,204.11
__export__.sinco_project_48949,CCO-21-14-07-00011,142.33
__export__.sinco_project_49010,CCO-21-14-06-00013,142.33
__export__.sinco_project_49048,CCO-21-02-03-00070,142.33
__export__.sinco_project_49049,CCO-21-06-02-00013,142.33
__export__.sinco_project_49092,CCO-21-16-06-00008,81.17
__export__.sinco_project_49094,CCO-21-16-06-00009,83.13
__export__.sinco_project_49097,CCO-21-16-06-00011,81.17
__export__.sinco_project_49102,CCO-21-17-09-00005,128.45
__export__.sinco_project_49111,CCO-21-19-18-00002,94.88
__export__.sinco_project_49146,CCO-21-12-15-00018,136.38
__export__.sinco_project_49183,CCO-21-21-18-00028,137.83
__export__.sinco_project_49208,CCO-21-11-02-00012,142.33
__export__.sinco_project_49230,CCO-21-10-09-00009,75.75
__export__.sinco_project_49234,CCO-21-12-01-00010,249.35
__export__.sinco_project_49239,CCO-21-10-02-00011,142.33
__export__.sinco_project_49254,CCO-21-18-15-00017,157.8
__export__.sinco_project_49273,CCO-21-21-08-00024,99.63
__export__.sinco_project_49281,CCO-21-10-13-00012,141.98
__export__.sinco_project_49285,CCO-21-06-02-00015,70.18
__export__.sinco_project_49288,CCO-21-12-01-00015,208.8
__export__.sinco_project_49298,CCO-21-10-13-00013,77.05
__export__.sinco_project_49313,CCO-21-10-14-00023,126.62
__export__.sinco_project_49325,CCO-21-18-13-00011,133.14
__export__.sinco_project_49339,CCO-21-06-02-00016,77.95
__export__.sinco_project_49348,CCO-21-04-02-00079,105.100192121
__export__.sinco_project_49378,CCO-21-14-07-00016,113.86
__export__.sinco_project_49412,CCO-21-10-04-00014,80.78
__export__.sinco_project_49413,CCO-21-21-10-00004,116.85
__export__.sinco_project_49423,CCO-21-11-09-00006,211.04
__export__.sinco_project_49513,CCO-21-06-02-00017,142.33
