code;project_ids.display_name;periodo_fiscal;investment_sector_id.name;category_id.name;lat;long
CCO-21-08-09-00015;REHABILITACION INTEGRAL DE LA VIALIDAD AGRICOLA  EN  GABINERO SECTOR LOS CORRALES, MUNICIPIO RÓMULO GALLEGOS, ESTADO COJEDES.;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,51009432301051;-68,5837243673229
CCO-21-17-08-00004;"Cría, producción y comercialización de levante;  pies de cría de cerdos y sus derivados en la Comunidad de La Sabaneta Parroquia Cariaco Municipio Ribero. ";21;SOCIOPRODUCTIVOS;SISTEMAS AGROPECUARIOS;10,4815856193682;-63,5724194060623
CCO-21-08-07-00001;CONSTRUCCIÓN DE TANQUE ELEVADO PARA EL ALMACENAMIENTO DE AGUA PARA CONSUMO HUMANO EN LA COMUNIDAD DE LA GUAMA CAMORUCO, MUNICIPIO TINACO ESTADO COJEDES;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,76766368578634;-68,416672625795
CCO-21-08-06-00054;REHABILITACION DEL CIRCUITO ELECTRICO DE BAJA TENSION Y ALUMBRADO PUBLICO;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,67153970460366;-68,5911750882433
CCO-21-10-01-00033;Sustitución de colectores de descargas de aguas servidas del sector Minas de Arena Valle de la Pascua Estado Guárico. ;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,2100932850245;-65,9890591081954
CCO-21-10-05-00013;ALUMBRADO PUBLICO EN EL SECTOR SAN PABLO, PARROQUIA TUCUPIDO, MUNICIPIO JOSE FELIX RIBAS, ESTADO GUARICO;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,27232235474933;-65,7715387785245
CCO-21-10-05-00008;construcción de acueductos de aguas negras  ;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,27500659545935;-65,7620830001502
CCO-21-08-04-00009;MEJORAS DEL SISTEMA DE ALUMBRADO PUBLICO DEL SECTOR ZAMBRANO I DEL MUNICIPIO PAO ESTADO COJEDES.;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,64924597455285;-68,1846019920305
CCO-21-09-13-00001;Mejoras del alumbrado publico de la comunidad a través de la instalación de 200 luminarias led;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;11,436948730675;-69,406818298239
CCO-21-08-09-00033;REPARACION Y MEJORAMIENTO DE LAS ACERAS Y BROCALES EN EL SECTOR CENTRO II, MUNICIPIO RÓMULO GALLEGOS, ESTADO COJEDES;21;SERVICIOS PÚBLICOS;VIALIDAD;9,53974137098673;-68,6308325362479
CCO-21-10-01-00034;Sustitución de techo y mejoras del módulo de salud del sector  martillo los cedros de la parroquia Valle de la Pascua Municipio Leonardo Infante Estado Guárico;21;SERVICIOS PÚBLICOS;SALUD;9,21199626733059;-66,0073155410542
CCO-21-08-06-00023;REHABILITACION Y MEJORAS DE ALUMBRADO PUBLICO (I ETAPA) EN CALLES, AVENIDAS Y VEREDAS EN LA COMUNIDAD SIMON RODRIGUEZ I DEL MUNICIPIO EZEQUIEL ZAMORA DEL ESTADO E INVICTO DE COJEDES.;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,66346607364425;-68,5714599617129
CCO-21-17-08-00005;SIEMBRA DE 10 HAS DE PIMENTÓN, 10 HAS DE TOMATE, 05 DE CEBOLLA Y 05 DE BATATA EN LA COMUNIDAD DE PANTOÑO, PARROQUIA CARIACO DEL MUNICIPIO RIBERO.;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;10,4927419959366;-63,4447606269924
CCO-21-21-16-00001;30 HECTAREAS DE FRIJOL ;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;10,6304814608795;-71,8102113599971
